snr_db,cond,n_blocks,bler_Broad,cp_lo_Broad,cp_hi_Broad,bler_DiscNRX,cp_lo_DiscNRX,cp_hi_DiscNRX,bler_AINR,cp_lo_AINR,cp_hi_AINR,bler_LS-LIN,cp_lo_LS-LIN,cp_hi_LS-LIN,bler_LS-LMMSE,cp_lo_LS-LMMSE,cp_hi_LS-LMMSE,broad_only_errors,narrow_only_errors,mcnemar_p,crc_false_pass_broad,auc_conf_b,tpr05_conf_b,fpr05_conf_b,auc_conf_d,tpr05_conf_d,fpr05_conf_d
5.0,V400,960,0.371875,0.34121442577238803,0.4033242550662616,0.5541666666666667,0.5220775111369087,0.5859225959117236,0.553125,0.521031957099727,0.5848912263706714,0.5114583333333333,0.47932317383670725,0.5435230110100818,0.5708333333333333,0.5388253922077382,0.6024054780458067,0,175,4.176194859519056e-53,0,0.8224815538194444,0.5541666666666667,0.034375,0.9486995442708334,0.846875,0.07916666666666666
10.0,S1,960,0.0,0.0,0.003835209490712123,0.0,0.0,0.003835209490712123,0.0,0.0,0.003835209490712123,0.0,0.0,0.003835209490712123,0.0,0.0,0.003835209490712123,0,0,1.0,0,,,,,,
10.0,DS200,960,0.0,0.0,0.003835209490712123,0.0,0.0,0.003835209490712123,0.0,0.0,0.003835209490712123,0.0,0.0,0.003835209490712123,0.0,0.0,0.003835209490712123,0,0,1.0,0,0.5927463107638888,0.15208333333333332,0.1,0.9308148871527778,0.740625,0.06041666666666667
10.0,DS300,960,0.0,0.0,0.003835209490712123,0.0,0.0,0.003835209490712123,0.0,0.0,0.003835209490712123,0.0,0.0,0.003835209490712123,0.004166666666666667,0.0011364078174559017,0.010633683500398295,0,0,1.0,0,0.6909250217013889,0.2791666666666667,0.1,0.9948030598958333,0.984375,0.06041666666666667
10.0,DS600,960,0.0,0.0,0.003835209490712123,0.003125,0.0006449143535063688,0.009105179729900067,0.0,0.0,0.003835209490712123,0.0,0.0,0.003835209490712123,0.7510416666666667,0.7224228469369398,0.7781112529714491,0,3,0.25,0,0.8346685112847222,0.5614583333333333,0.1,0.9999717881944444,1.0,0.06041666666666667
10.0,DS1000,960,0.0,0.0,0.003835209490712123,0.013541666666666667,0.007229539041352967,0.02304534286548137,0.0,0.0,0.003835209490712123,0.0,0.0,0.003835209490712123,0.9270833333333334,0.9087693068675776,0.9427200608666765,0,13,0.000244140625,0,0.9173578559027777,0.7625,0.1,1.0,1.0,0.06041666666666667
10.0,CDLA,960,0.0,0.0,0.003835209490712123,0.0,0.0,0.003835209490712123,0.0,0.0,0.003835209490712123,0.0,0.0,0.003835209490712123,0.0,0.0,0.003835209490712123,0,0,1.0,0,0.2507145182291667,0.0020833333333333333,0.1,0.346748046875,0.004166666666666667,0.06041666666666667
10.0,CDLB,960,0.0,0.0,0.003835209490712123,0.0,0.0,0.003835209490712123,0.0,0.0,0.003835209490712123,0.0,0.0,0.003835209490712123,0.0,0.0,0.003835209490712123,0,0,1.0,0,0.6475531684027778,0.23229166666666667,0.1,0.8431515842013889,0.5302083333333333,0.06041666666666667
10.0,CDLD,960,0.0,0.0,0.003835209490712123,0.0,0.0,0.003835209490712123,0.0,0.0,0.003835209490712123,0.0,0.0,0.003835209490712123,0.0,0.0,0.003835209490712123,0,0,1.0,0,0.21204698350694445,0.008333333333333333,0.1,0.7490587022569445,0.21354166666666666,0.06041666666666667
10.0,CDLE,960,0.0,0.0,0.003835209490712123,0.0,0.0,0.003835209490712123,0.0,0.0,0.003835209490712123,0.0,0.0,0.003835209490712123,0.0,0.0,0.003835209490712123,0,0,1.0,0,0.3479372829861111,0.0375,0.1,0.8386094835069444,0.415625,0.06041666666666667
