snr_db,window,stat,cond,alpha,n_seeds,tpr_mean,tpr_lo,tpr_hi,realised_fpr_mean
10.0,8,conf_d,CDLE,0.1,5,0.99,0.9765089017940941,1.0034910982059058,0.14166666666666666
10.0,8,conf_d,S2,0.01,5,1.0,1.0,1.0,0.026666666666666665
10.0,8,conf_d,S2,0.05,5,1.0,1.0,1.0,0.09333333333333334
10.0,8,conf_d,S2,0.1,5,1.0,1.0,1.0,0.13666666666666666
10.0,8,conf_d,V30,0.01,5,0.13333333333333336,-0.000581982113832924,0.26724864878049964,0.025
10.0,8,conf_d,V30,0.05,5,0.29833333333333334,0.09056320659661982,0.5061034600700469,0.08833333333333333
10.0,8,conf_d,V30,0.1,5,0.46333333333333326,0.329298147372433,0.5973685192942335,0.13666666666666666
10.0,8,conf_d,V90,0.01,5,0.9766666666666666,0.9174973274423807,1.0358360058909524,0.026666666666666665
10.0,8,conf_d,V90,0.05,5,0.9949999999999999,0.9811177744740109,1.0088822255259888,0.08666666666666667
10.0,8,conf_d,V90,0.1,5,1.0,1.0,1.0,0.13833333333333334
10.0,8,conf_d,V150,0.01,5,0.9983333333333334,0.9937059248246705,1.0029607418419964,0.026666666666666665
10.0,8,conf_d,V150,0.05,5,1.0,1.0,1.0,0.09333333333333334
10.0,8,conf_d,V150,0.1,5,1.0,1.0,1.0,0.13666666666666666
10.0,8,conf_d,V250,0.01,5,1.0,1.0,1.0,0.025
10.0,8,conf_d,V250,0.05,5,1.0,1.0,1.0,0.08833333333333333
10.0,8,conf_d,V250,0.1,5,1.0,1.0,1.0,0.13833333333333334
10.0,8,conf_d,V400,0.01,5,1.0,1.0,1.0,0.026666666666666665
10.0,8,conf_d,V400,0.05,5,1.0,1.0,1.0,0.09
10.0,8,conf_d,V400,0.1,5,1.0,1.0,1.0,0.13999999999999999
10.0,8,crcfail_a,DS200,0.01,5,0.0,0.0,0.0,0.0
10.0,8,crcfail_a,DS200,0.05,5,0.0,0.0,0.0,0.0
10.0,8,crcfail_a,DS200,0.1,5,0.0,0.0,0.0,0.0
10.0,8,crcfail_a,DS300,0.01,5,0.0,0.0,0.0,0.0
10.0,8,crcfail_a,DS300,0.05,5,0.0,0.0,0.0,0.0
10.0,8,crcfail_a,DS300,0.1,5,0.0,0.0,0.0,0.0
10.0,8,crcfail_a,DS600,0.01,5,0.019999999999999997,-0.004919357449086691,0.044919357449086685,0.0
10.0,8,crcfail_a,DS600,0.05,5,0.019999999999999997,-0.004919357449086691,0.044919357449086685,0.0
10.0,8,crcfail_a,DS600,0.1,5,0.019999999999999997,-0.004919357449086691,0.044919357449086685,0.0
10.0,8,crcfail_a,DS1000,0.01,5,0.05333333333333333,-0.02701585593496643,0.1336825226016331,0.0
10.0,8,crcfail_a,DS1000,0.05,5,0.05333333333333333,-0.02701585593496643,0.1336825226016331,0.0
10.0,8,crcfail_a,DS1000,0.1,5,0.05333333333333333,-0.02701585593496643,0.1336825226016331,0.0
10.0,8,crcfail_a,CDLA,0.01,5,0.0,0.0,0.0,0.0
10.0,8,crcfail_a,CDLA,0.05,5,0.0,0.0,0.0,0.0
10.0,8,crcfail_a,CDLA,0.1,5,0.0,0.0,0.0,0.0
10.0,8,crcfail_a,CDLB,0.01,5,0.0,0.0,0.0,0.0
10.0,8,crcfail_a,CDLB,0.05,5,0.0,0.0,0.0,0.0
10.0,8,crcfail_a,CDLB,0.1,5,0.0,0.0,0.0,0.0
10.0,8,crcfail_a,CDLD,0.01,5,0.0,0.0,0.0,0.0
10.0,8,crcfail_a,CDLD,0.05,5,0.0,0.0,0.0,0.0
10.0,8,crcfail_a,CDLD,0.1,5,0.0,0.0,0.0,0.0
10.0,8,crcfail_a,CDLE,0.01,5,0.0,0.0,0.0,0.0
10.0,8,crcfail_a,CDLE,0.05,5,0.0,0.0,0.0,0.0
10.0,8,crcfail_a,CDLE,0.1,5,0.0,0.0,0.0,0.0
10.0,8,crcfail_a,S2,0.01,5,0.31333333333333335,0.006682404595454383,0.6199842620712124,0.0
10.0,8,crcfail_a,S2,0.05,5,0.31333333333333335,0.006682404595454383,0.6199842620712124,0.0
10.0,8,crcfail_a,S2,0.1,5,0.31333333333333335,0.006682404595454383,0.6199842620712124,0.0
10.0,8,crcfail_a,V30,0.01,5,0.0,0.0,0.0,0.0
10.0,8,crcfail_a,V30,0.05,5,0.0,0.0,0.0,0.0
10.0,8,crcfail_a,V30,0.1,5,0.0,0.0,0.0,0.0
10.0,8,crcfail_a,V90,0.01,5,0.0,0.0,0.0,0.0
10.0,8,crcfail_a,V90,0.05,5,0.0,0.0,0.0,0.0
10.0,8,crcfail_a,V90,0.1,5,0.0,0.0,0.0,0.0
10.0,8,crcfail_a,V150,0.01,5,0.30166666666666664,0.1903681125464627,0.4129652207868706,0.0
10.0,8,crcfail_a,V150,0.05,5,0.30166666666666664,0.1903681125464627,0.4129652207868706,0.0
10.0,8,crcfail_a,V150,0.1,5,0.30166666666666664,0.1903681125464627,0.4129652207868706,0.0
10.0,8,crcfail_a,V250,0.01,5,0.95,0.9119819596552091,0.9880180403447908,0.0
10.0,8,crcfail_a,V250,0.05,5,0.95,0.9119819596552091,0.9880180403447908,0.0
10.0,8,crcfail_a,V250,0.1,5,0.95,0.9119819596552091,0.9880180403447908,0.0
10.0,8,crcfail_a,V400,0.01,5,1.0,1.0,1.0,0.0
10.0,8,crcfail_a,V400,0.05,5,1.0,1.0,1.0,0.0
10.0,8,crcfail_a,V400,0.1,5,1.0,1.0,1.0,0.0
10.0,8,crcfail_d,DS200,0.01,5,0.0,0.0,0.0,0.0
10.0,8,crcfail_d,DS200,0.05,5,0.0,0.0,0.0,0.0
10.0,8,crcfail_d,DS200,0.1,5,0.0,0.0,0.0,0.0
10.0,8,crcfail_d,DS300,0.01,5,0.0,0.0,0.0,0.0
10.0,8,crcfail_d,DS300,0.05,5,0.0,0.0,0.0,0.0
10.0,8,crcfail_d,DS300,0.1,5,0.0,0.0,0.0,0.0
10.0,8,crcfail_d,DS600,0.01,5,0.049999999999999996,-0.010776038780040971,0.11077603878004097,0.0
10.0,8,crcfail_d,DS600,0.05,5,0.049999999999999996,-0.010776038780040971,0.11077603878004097,0.0
10.0,8,crcfail_d,DS600,0.1,5,0.049999999999999996,-0.010776038780040971,0.11077603878004097,0.0
10.0,8,crcfail_d,DS1000,0.01,5,0.15,0.04994733789610192,0.2500526621038981,0.0
10.0,8,crcfail_d,DS1000,0.05,5,0.15,0.04994733789610192,0.2500526621038981,0.0
10.0,8,crcfail_d,DS1000,0.1,5,0.15,0.04994733789610192,0.2500526621038981,0.0
10.0,8,crcfail_d,CDLA,0.01,5,0.0,0.0,0.0,0.0
10.0,8,crcfail_d,CDLA,0.05,5,0.0,0.0,0.0,0.0
10.0,8,crcfail_d,CDLA,0.1,5,0.0,0.0,0.0,0.0
10.0,8,crcfail_d,CDLB,0.01,5,0.0,0.0,0.0,0.0
10.0,8,crcfail_d,CDLB,0.05,5,0.0,0.0,0.0,0.0
10.0,8,crcfail_d,CDLB,0.1,5,0.0,0.0,0.0,0.0
10.0,8,crcfail_d,CDLD,0.01,5,0.0,0.0,0.0,0.0
10.0,8,crcfail_d,CDLD,0.05,5,0.0,0.0,0.0,0.0
10.0,8,crcfail_d,CDLD,0.1,5,0.0,0.0,0.0,0.0
10.0,8,crcfail_d,CDLE,0.01,5,0.0,0.0,0.0,0.0
10.0,8,crcfail_d,CDLE,0.05,5,0.0,0.0,0.0,0.0
10.0,8,crcfail_d,CDLE,0.1,5,0.0,0.0,0.0,0.0
10.0,8,crcfail_d,S2,0.01,5,0.6266666666666667,0.39317733585603903,0.8601559974772943,0.0
10.0,8,crcfail_d,S2,0.05,5,0.6266666666666667,0.39317733585603903,0.8601559974772943,0.0
10.0,8,crcfail_d,S2,0.1,5,0.6266666666666667,0.39317733585603903,0.8601559974772943,0.0
10.0,8,crcfail_d,V30,0.01,5,0.0,0.0,0.0,0.0
10.0,8,crcfail_d,V30,0.05,5,0.0,0.0,0.0,0.0
10.0,8,crcfail_d,V30,0.1,5,0.0,0.0,0.0,0.0
10.0,8,crcfail_d,V90,0.01,5,0.0,0.0,0.0,0.0
10.0,8,crcfail_d,V90,0.05,5,0.0,0.0,0.0,0.0
10.0,8,crcfail_d,V90,0.1,5,0.0,0.0,0.0,0.0
10.0,8,crcfail_d,V150,0.01,5,0.30333333333333334,0.2295845773130733,0.3770820893535934,0.0
10.0,8,crcfail_d,V150,0.05,5,0.30333333333333334,0.2295845773130733,0.3770820893535934,0.0
10.0,8,crcfail_d,V150,0.1,5,0.30333333333333334,0.2295845773130733,0.3770820893535934,0.0
10.0,8,crcfail_d,V250,0.01,5,0.95,0.9119819596552091,0.9880180403447908,0.0
10.0,8,crcfail_d,V250,0.05,5,0.95,0.9119819596552091,0.9880180403447908,0.0
10.0,8,crcfail_d,V250,0.1,5,0.95,0.9119819596552091,0.9880180403447908,0.0
10.0,8,crcfail_d,V400,0.01,5,1.0,1.0,1.0,0.0
10.0,8,crcfail_d,V400,0.05,5,1.0,1.0,1.0,0.0
10.0,8,crcfail_d,V400,0.1,5,1.0,1.0,1.0,0.0
10.0,8,cf,DS200,0.01,5,0.011666666666666667,-0.004025639069570321,0.027358972402903657,0.013333333333333332
10.0,8,cf,DS200,0.05,5,0.05,0.011981959655209116,0.08801804034479088,0.05333333333333333
10.0,8,cf,DS200,0.1,5,0.095,0.024214261150886415,0.16578573884911357,0.10333333333333332
10.0,8,cf,DS300,0.01,5,0.005,-0.008882225525988965,0.018882225525988967,0.013333333333333332
10.0,8,cf,DS300,0.05,5,0.045,-0.0038624539899931587,0.09386245398999316,0.05333333333333333
10.0,8,cf,DS300,0.1,5,0.09666666666666665,0.01565397158988692,0.1776793617434464,0.10833333333333332
10.0,8,cf,DS600,0.01,5,0.006666666666666666,-0.001990421947363064,0.015323755280696396,0.015
10.0,8,cf,DS600,0.05,5,0.03833333333333333,-0.005321551227711489,0.08198821789437816,0.05
10.0,8,cf,DS600,0.1,5,0.08833333333333333,-0.018348255530274166,0.19501492219694083,0.10500000000000001
10.0,8,cf,DS1000,0.01,5,0.005,-0.008882225525988965,0.018882225525988967,0.013333333333333332
10.0,8,cf,DS1000,0.05,5,0.028333333333333332,-0.027675516348086033,0.0843421830147527,0.05166666666666666
10.0,8,cf,DS1000,0.1,5,0.07333333333333333,-0.030500186958981115,0.17716685362564777,0.10499999999999998
10.0,8,cf,CDLA,0.01,5,0.17333333333333334,0.024211549136558708,0.32245511753010797,0.015
10.0,8,cf,CDLA,0.05,5,0.3383333333333333,0.17910744079333463,0.497559225873332,0.05333333333333333
10.0,8,cf,CDLA,0.1,5,0.4616666666666667,0.2931311378907707,0.6302021954425627,0.09999999999999999
10.0,8,cf,CDLB,0.01,5,0.008333333333333333,-0.014803709209981612,0.03147037587664828,0.013333333333333332
