fpr,S2_resid,S2_comb,S2_conf_d,S2_tdisp,V90_resid,V90_comb,V90_conf_d,V90_tdisp,V250_resid,V250_comb,V250_conf_d,V250_tdisp
0.700,1.0000,1.0000,1.0000,0.8479,0.7777,0.8113,0.8863,0.8308,0.9144,0.9463,0.9688,0.9548
0.710,1.0000,1.0000,1.0000,0.8538,0.7848,0.8177,0.8910,0.8392,0.9177,0.9475,0.9708,0.9565
0.720,1.0000,1.0000,1.0000,0.8598,0.7940,0.8256,0.8956,0.8452,0.9219,0.9500,0.9723,0.9575
0.730,1.0000,1.0000,1.0000,0.8660,0.8029,0.8323,0.8992,0.8500,0.9250,0.9521,0.9735,0.9596
0.740,1.0000,1.0000,1.0000,0.8725,0.8104,0.8377,0.9021,0.8573,0.9283,0.9548,0.9742,0.9617
0.750,1.0000,1.0000,1.0000,0.8794,0.8177,0.8456,0.9060,0.8652,0.9302,0.9567,0.9760,0.9640
0.760,1.0000,1.0000,1.0000,0.8842,0.8246,0.8517,0.9096,0.8713,0.9335,0.9587,0.9779,0.9656
0.770,1.0000,1.0000,1.0000,0.8875,0.8352,0.8608,0.9144,0.8760,0.9387,0.9615,0.9788,0.9660
0.780,1.0000,1.0000,1.0000,0.8912,0.8452,0.8671,0.9194,0.8804,0.9446,0.9638,0.9800,0.9679
0.790,1.0000,1.0000,1.0000,0.8952,0.8546,0.8754,0.9250,0.8867,0.9485,0.9656,0.9812,0.9698
0.800,1.0000,1.0000,1.0000,0.9010,0.8656,0.8808,0.9296,0.8938,0.9510,0.9681,0.9819,0.9710
0.810,1.0000,1.0000,1.0000,0.9052,0.8752,0.8856,0.9358,0.8983,0.9550,0.9688,0.9831,0.9729
0.820,1.0000,1.0000,1.0000,0.9100,0.8831,0.8948,0.9410,0.9046,0.9592,0.9702,0.9842,0.9742
0.830,1.0000,1.0000,1.0000,0.9165,0.8904,0.8998,0.9440,0.9098,0.9621,0.9715,0.9852,0.9754
0.840,1.0000,1.0000,1.0000,0.9217,0.8985,0.9092,0.9477,0.9133,0.9660,0.9731,0.9867,0.9777
0.850,1.0000,1.0000,1.0000,0.9290,0.9077,0.9150,0.9529,0.9200,0.9690,0.9760,0.9877,0.9785
0.860,1.0000,1.0000,1.0000,0.9323,0.9169,0.9215,0.9556,0.9252,0.9721,0.9775,0.9885,0.9802
0.870,1.0000,1.0000,1.0000,0.9369,0.9242,0.9279,0.9581,0.9290,0.9742,0.9794,0.9898,0.9817
0.880,1.0000,1.0000,1.0000,0.9404,0.9319,0.9337,0.9615,0.9333,0.9765,0.9806,0.9910,0.9831
0.890,1.0000,1.0000,1.0000,0.9446,0.9396,0.9398,0.9650,0.9373,0.9792,0.9817,0.9919,0.9840
0.900,1.0000,1.0000,1.0000,0.9510,0.9452,0.9442,0.9685,0.9429,0.9812,0.9833,0.9925,0.9858
0.910,1.0000,1.0000,1.0000,0.9548,0.9538,0.9500,0.9715,0.9492,0.9829,0.9848,0.9931,0.9879
0.920,1.0000,1.0000,1.0000,0.9608,0.9581,0.9554,0.9760,0.9560,0.9852,0.9860,0.9944,0.9898
0.930,1.0000,1.0000,1.0000,0.9640,0.9644,0.9598,0.9804,0.9608,0.9869,0.9881,0.9954,0.9910
0.940,1.0000,1.0000,1.0000,0.9702,0.9696,0.9675,0.9842,0.9673,0.9904,0.9896,0.9960,0.9925
0.950,1.0000,1.0000,1.0000,0.9752,0.9758,0.9727,0.9873,0.9723,0.9929,0.9915,0.9962,0.9935
0.960,1.0000,1.0000,1.0000,0.9817,0.9810,0.9783,0.9915,0.9775,0.9946,0.9933,0.9975,0.9950
0.970,1.0000,1.0000,1.0000,0.9892,0.9881,0.9833,0.9931,0.9854,0.9971,0.9950,0.9979,0.9969
0.980,1.0000,1.0000,1.0000,0.9923,0.9933,0.9898,0.9960,0.9896,0.9985,0.9965,0.9994,0.9973
0.990,1.0000,1.0000,1.0000,0.9971,0.9977,0.9958,0.9983,0.9944,0.9996,0.9985,0.9996,0.9985
1.000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
