slot,AINR_none,AINR_none_lo,AINR_none_hi,AINR_ungated,AINR_ungated_lo,AINR_ungated_hi,AINR_gated,AINR_gated_lo,AINR_gated_hi,AINR_trig,AINR_trig_lo,AINR_trig_hi,DiscNRX_none,DiscNRX_none_lo,DiscNRX_none_hi,DiscNRX_ungated,DiscNRX_ungated_lo,DiscNRX_ungated_hi,DiscNRX_gated,DiscNRX_gated_lo,DiscNRX_gated_hi,DiscNRX_trig,DiscNRX_trig_lo,DiscNRX_trig_hi
230,0.968,0.892269,1,1,1,1,0.444,0,1,0.444,0,1,1,1,1,1,1,1,1,1,1,1,1,1
240,0.96,0.887599,1,1,1,1,0.436,0,1,0.436,0,1,1,1,1,1,1,1,1,1,1,1,1,1
250,0.964,0.902166,1,1,1,1,0.428,0,1,0.428,0,1,1,1,1,1,1,1,1,1,1,1,1,1
260,0.96,0.899171,1,1,1,1,0.428,0,1,0.428,0,1,1,1,1,1,1,1,1,1,1,1,1,1
270,0.964,0.902166,1,1,1,1,0.424,0,1,0.424,0,1,1,1,1,1,1,1,1,1,1,1,1,1
280,0.968,0.926446,1,1,1,1,0.408,0,1,0.408,0,1,1,1,1,1,1,1,1,1,1,1,1,1
290,0.968,0.916505,1,1,1,1,0.408,0,1,0.408,0,1,1,1,1,1,1,1,1,1,1,1,1,1
300,0.972,0.930446,1,1,1,1,0.408,0,1,0.408,0,1,1,1,1,1,1,1,1,1,1,1,1,1
310,0.972,0.930446,1,1,1,1,0.408,0,1,0.408,0,1,1,1,1,1,1,1,1,1,1,1,1,1
320,0.972,0.930446,1,1,1,1,0.408,0,1,0.408,0,1,1,1,1,1,1,1,1,1,1,1,1,1
330,0.968,0.922888,1,1,1,1,0.424,0,1,0.424,0,1,1,1,1,1,1,1,1,1,1,1,1,1
340,0.972,0.934338,1,1,1,1,0.432,0,1,0.432,0,1,1,1,1,1,1,1,1,1,1,1,1,1
350,0.972,0.934338,1,1,1,1,0.44,0,1,0.44,0,1,1,1,1,1,1,1,1,1,1,1,1,1
360,0.968,0.930338,1,1,1,1,0.44,0,1,0.44,0,1,1,1,1,1,1,1,1,1,1,1,1,1
370,0.968,0.930338,1,1,1,1,0.44,0,1,0.44,0,1,1,1,1,1,1,1,1,1,1,1,1,1
380,0.972,0.930446,1,1,1,1,0.432,0,1,0.432,0,1,1,1,1,1,1,1,1,1,1,1,1,1
390,0.976,0.935195,1,1,1,1,0.428,0,1,0.428,0,1,1,1,1,1,1,1,1,1,1,1,1,1
400,0.98,0.94488,1,1,1,1,0.42,0,1,0.42,0,1,1,1,1,1,1,1,1,1,1,1,1,1
410,0.988,0.965788,1,1,1,1,0.416,0,1,0.416,0,1,1,1,1,1,1,1,1,1,1,1,1,1
420,0.984,0.951621,1,1,1,1,0.416,0,1,0.416,0,1,1,1,1,1,1,1,1,1,1,1,1,1
430,0.984,0.963223,1,1,1,1,0.412,0,1,0.412,0,1,1,1,1,1,1,1,1,1,1,1,1,1
440,0.98,0.94488,1,1,1,1,0.42,0,1,0.42,0,1,1,1,1,1,1,1,1,1,1,1,1,1
450,0.98,0.94488,1,1,1,1,0.42,0,1,0.42,0,1,1,1,1,1,1,1,1,1,1,1,1,1
460,0.98,0.94488,1,1,1,1,0.42,0,1,0.42,0,1,1,1,1,1,1,1,1,1,1,1,1,1
470,0.984,0.956797,1,1,1,1,0.424,0,1,0.424,0,1,1,1,1,1,1,1,1,1,1,1,1,1
480,0.988,0.965788,1,1,1,1,0.42,0,1,0.42,0,1,1,1,1,1,1,1,1,1,1,1,1,1
490,0.988,0.965788,1,1,1,1,0.408,0,1,0.408,0,1,1,1,1,1,1,1,1,1,1,1,1,1
500,0.98,0.936987,1,1,1,1,0.416,0,1,0.416,0,1,1,1,1,1,1,1,1,1,1,1,1,1
510,0.976,0.922163,1,1,1,1,0.42,0,1,0.42,0,1,1,1,1,1,1,1,1,1,1,1,1,1
520,0.968,0.916505,1,1,1,1,0.416,0,1,0.416,0,1,1,1,1,1,1,1,1,1,1,1,1,1
530,0.968,0.916505,1,1,1,1,0.416,0,1,0.416,0,1,1,1,1,1,1,1,1,1,1,1,1,1
540,0.976,0.935195,1,1,1,1,0.424,0,1,0.424,0,1,1,1,1,1,1,1,1,1,1,1,1,1
550,0.972,0.938683,1,1,1,1,0.416,0,1,0.416,0,1,1,1,1,1,1,1,1,1,1,1,1,1
560,0.968,0.930338,1,1,1,1,0.412,0,1,0.412,0,1,1,1,1,1,1,1,1,1,1,1,1,1
570,0.976,0.943621,1,1,1,1,0.408,0,1,0.408,0,1,1,1,1,1,1,1,1,1,1,1,1,1
580,0.968,0.930338,1,1,1,1,0.412,0,1,0.412,0,1,1,1,1,1,1,1,1,1,1,1,1,1
590,0.968,0.930338,1,1,1,1,0.408,0,1,0.408,0,1,1,1,1,1,1,1,1,1,1,1,1,1
600,0.976,0.948797,1,1,1,1,0.408,0,1,0.408,0,1,1,1,1,1,1,1,1,1,1,1,1,1
610,0.968,0.926446,1,1,1,1,0.408,0,1,0.408,0,1,1,1,1,1,1,1,1,1,1,1,1,1
620,0.968,0.916505,1,1,1,1,0.412,0,1,0.412,0,1,1,1,1,1,1,1,1,1,1,1,1,1
630,0.972,0.920505,1,1,1,1,0.412,0,1,0.412,0,1,1,1,1,1,1,1,1,1,1,1,1,1
640,0.964,0.902166,1,1,1,1,0.412,0,1,0.412,0,1,1,1,1,1,1,1,1,1,1,1,1,1
650,0.952,0.880456,1,1,1,1,0.412,0,1,0.412,0,1,1,1,1,1,1,1,1,1,1,1,1,1
660,0.964,0.910163,1,1,1,1,0.412,0,1,0.412,0,1,1,1,1,1,1,1,1,1,1,1,1,1
670,0.964,0.913107,1,1,1,1,0.412,0,1,0.412,0,1,1,1,1,1,1,1,1,1,1,1,1,1
680,0.964,0.919577,1,1,1,1,0.416,0,1,0.416,0,1,1,1,1,1,1,1,1,1,1,1,1,1
690,0.972,0.930446,1,1,1,1,0.412,0,1,0.412,0,1,1,1,1,1,1,1,1,1,1,1,1,1
700,0.988,0.965788,1,1,1,1,0.42,0,1,0.42,0,1,1,1,1,1,1,1,1,1,1,1,1,1
710,0.992,0.978398,1,1,1,1,0.424,0,1,0.424,0,1,1,1,1,1,1,1,1,1,1,1,1,1
720,0.996,0.984894,1,1,1,1,0.42,0,1,0.42,0,1,1,1,1,1,1,1,1,1,1,1,1,1
730,0.996,0.984894,1,1,1,1,0.42,0,1,0.42,0,1,1,1,1,1,1,1,1,1,1,1,1,1
740,0.996,0.984894,1,1,1,1,0.424,0,1,0.424,0,1,1,1,1,1,1,1,1,1,1,1,1,1
750,0.992,0.969788,1,1,1,1,0.424,0,1,0.424,0,1,1,1,1,1,1,1,1,1,1,1,1,1
760,0.992,0.969788,1,1,1,1,0.42,0,1,0.42,0,1,1,1,1,1,1,1,1,1,1,1,1,1
770,0.992,0.969788,1,1,1,1,0.428,0,1,0.428,0,1,1,1,1,1,1,1,1,1,1,1,1,1
780,0.992,0.978398,1,1,1,1,0.424,0,1,0.424,0,1,1,1,1,1,1,1,1,1,1,1,1,1
790,0.988,0.974398,1,1,1,1,0.42,0,1,0.42,0,1,1,1,1,1,1,1,1,1,1,1,1,1
800,0.992,0.978398,1,1,1,1,0.412,0,1,0.412,0,1,1,1,1,1,1,1,1,1,1,1,1,1
810,0.98,0.955167,1,1,1,1,0.42,0,1,0.416,0,1,1,1,1,1,1,1,1,1,1,1,1,1
820,0.972,0.930446,1,1,1,1,0.424,0,1,0.42,0,1,1,1,1,1,1,1,1,1,1,1,1,1
830,0.976,0.935195,1,1,1,1,0.428,0,1,0.424,0,1,1,1,1,1,1,1,1,1,1,1,1,1
840,0.972,0.930446,1,1,1,1,0.428,0,1,0.424,0,1,1,1,1,1,1,1,1,1,1,1,1,1
850,0.964,0.913107,1,1,1,1,0.436,0,1,0.432,0,1,1,1,1,1,1,1,1,1,1,1,1,1
860,0.976,0.935195,1,1,1,1,0.428,0,1,0.428,0,1,1,1,1,1,1,1,1,1,1,1,1,1
870,0.984,0.951621,1,1,1,1,0.424,0,1,0.424,0,1,1,1,1,1,1,1,1,1,1,1,1,1
880,0.972,0.930446,1,1,1,1,0.42,0,1,0.42,0,1,1,1,1,1,1,1,1,1,1,1,1,1
890,0.964,0.913107,1,1,1,1,0.42,0,1,0.42,0,1,1,1,1,1,1,1,1,1,1,1,1,1
900,0.968,0.930338,1,1,1,1,0.424,0,1,0.424,0,1,1,1,1,1,1,1,1,1,1,1,1,1
910,0.964,0.923195,1,1,1,1,0.436,0,1,0.436,0,1,1,1,1,1,1,1,1,1,1,1,1,1
920,0.96,0.913541,1,1,1,1,0.428,0,1,0.428,0,1,1,1,1,1,1,1,1,1,1,1,1,1
930,0.96,0.901761,1,1,1,1,0.424,0,1,0.424,0,1,1,1,1,1,1,1,1,1,1,1,1,1
940,0.972,0.934338,1,1,1,1,0.424,0,1,0.424,0,1,1,1,1,1,1,1,1,1,1,1,1,1
950,0.976,0.935195,1,1,1,1,0.416,0,1,0.416,0,1,1,1,1,1,1,1,1,1,1,1,1,1
960,0.98,0.94488,1,1,1,1,0.408,0,1,0.408,0,1,1,1,1,1,1,1,1,1,1,1,1,1
970,0.984,0.951621,1,1,1,1,0.412,0,1,0.412,0,1,1,1,1,1,1,1,1,1,1,1,1,1
980,0.996,0.984894,1,1,1,1,0.412,0,1,0.412,0,1,1,1,1,1,1,1,1,1,1,1,1,1
990,1,1,1,1,1,1,0.412,0,1,0.412,0,1,1,1,1,1,1,1,1,1,1,1,1,1
1000,1,1,1,1,1,1,0.408,0,1,0.408,0,1,1,1,1,1,1,1,1,1,1,1,1,1
