snr_db,window,stat,cond,n_seeds,auc_mean,ci_lo,ci_hi,seed0,seed1,seed2,seed3,seed4
5.0,1,tdisp,CDLA,5,0.49793901909722216,0.48986561273202495,0.5060124254624194,0.5009331597222222,0.5025412326388888,0.50419921875,0.49238389756944445,0.4896375868055556
5.0,1,tdisp,CDLB,5,0.5548732638888889,0.5432403040519319,0.5665062237258459,0.554794921875,0.5401063368055555,0.5654861111111111,0.5545974392361112,0.5593815104166666
5.0,1,tdisp,CDLD,5,0.5182094184027777,0.4840175061040898,0.5524013307014656,0.47992296006944446,0.5536111111111112,0.5300922309027778,0.5055750868055555,0.521845703125
5.0,1,tdisp,CDLE,5,0.5234865451388889,0.4904897155609049,0.5564833747168729,0.48821072048611114,0.5628309461805555,0.5183257378472222,0.5224110243055555,0.525654296875
5.0,1,tdisp,S2,5,0.6612840711805555,0.6384599295035489,0.6841082128575622,0.6430327690972222,0.6672417534722223,0.68998046875,0.6495496961805556,0.6566156684027777
5.0,1,tdisp,V30,5,0.5295852864583334,0.5128147357593223,0.5463558371573444,0.5085666232638889,0.5400141059027778,0.53474609375,0.5239995659722222,0.5406000434027778
5.0,1,tdisp,V90,5,0.6547210286458333,0.6388471067739551,0.6705949505177115,0.6532014973958333,0.6506228298611111,0.6561697048611111,0.6744672309027778,0.6391438802083333
5.0,1,tdisp,V150,5,0.794421875,0.7808241436156924,0.8080196063843077,0.7922319878472223,0.779736328125,0.8066449652777777,0.8037847222222222,0.7897113715277778
5.0,1,tdisp,V250,5,0.8869021267361111,0.8803241937681026,0.8934800597041197,0.8883604600694445,0.8950227864583333,0.8835232204861111,0.8864051649305555,0.8811990017361111
5.0,1,tdisp,V400,5,0.9519468315972223,0.9484129154292693,0.9554807477651752,0.9524273003472222,0.9562554253472222,0.9500629340277778,0.9522026909722222,0.9487858072916666
5.0,1,comb,DS200,5,0.7707796223958334,0.7539248921905458,0.787634352601121,0.74841796875,0.7757855902777778,0.7777300347222222,0.7685828993055556,0.7833816189236111
5.0,1,comb,DS300,5,0.949251953125,0.9395743031908115,0.9589296030591885,0.9419813368055555,0.9455447048611111,0.9568641493055555,0.9434255642361111,0.9584440104166667
5.0,1,comb,DS600,5,0.9989685329861112,0.998352262574024,0.9995848033981984,0.9984505208333333,0.9988910590277778,0.999375,0.9985492621527777,0.9995768229166667
5.0,1,comb,DS1000,5,0.9999765625,0.9999474379305787,1.0000056870694214,0.99998046875,0.9999750434027778,0.9999891493055556,0.9999381510416666,1.0
