slot,AINR_none,AINR_none_lo,AINR_none_hi,AINR_ungated,AINR_ungated_lo,AINR_ungated_hi,AINR_gated,AINR_gated_lo,AINR_gated_hi,AINR_trig,AINR_trig_lo,AINR_trig_hi,DiscNRX_none,DiscNRX_none_lo,DiscNRX_none_hi,DiscNRX_ungated,DiscNRX_ungated_lo,DiscNRX_ungated_hi,DiscNRX_gated,DiscNRX_gated_lo,DiscNRX_gated_hi,DiscNRX_trig,DiscNRX_trig_lo,DiscNRX_trig_hi
620,0.536,0.180268,0.891732,0.6,0,1,0,0,0,0,0,0,0.768,0.531366,1,0.8,0.244711,1,0,0,0,0,0,0
630,0.52,0.145026,0.894974,0.6,0,1,0,0,0,0,0,0,0.772,0.537329,1,0.8,0.244711,1,0,0,0,0,0,0
640,0.512,0.118332,0.905668,0.6,0,1,0,0,0,0,0,0,0.76,0.542798,0.977202,0.8,0.244711,1,0,0,0,0,0,0
650,0.512,0.101086,0.922914,0.6,0,1,0,0,0,0,0,0,0.776,0.561368,0.990632,0.8,0.244711,1,0,0,0,0,0,0
660,0.492,0.0921148,0.891885,0.6,0,1,0,0,0,0,0,0,0.776,0.559936,0.992064,0.8,0.244711,1,0,0,0,0.004,0,0.0151058
670,0.472,0.040944,0.903056,0.6,0,1,0,0,0,0,0,0,0.772,0.560844,0.983156,0.8,0.244711,1,0,0,0,0.004,0,0.0151058
680,0.476,0.0547848,0.897215,0.6,0,1,0,0,0,0,0,0,0.764,0.55299,0.97501,0.8,0.244711,1,0,0,0,0.004,0,0.0151058
690,0.492,0.0766082,0.907392,0.6,0,1,0,0,0,0,0,0,0.776,0.558514,0.993486,0.8,0.244711,1,0,0,0,0.004,0,0.0151058
700,0.48,0.053836,0.906164,0.6,0,1,0,0,0,0,0,0,0.752,0.522645,0.981355,0.8,0.244711,1,0,0,0,0.004,0,0.0151058
710,0.516,0.116964,0.915036,0.6,0,1,0,0,0,0,0,0,0.756,0.519496,0.992504,0.8,0.244711,1,0,0,0,0,0,0
720,0.552,0.191875,0.912125,0.6,0,1,0,0,0,0,0,0,0.752,0.506414,0.997586,0.8,0.244711,1,0,0,0,0,0,0
