step,n_seeds,ce,ce_lo,ce_hi,kl_channel,kl_channel_lo,kl_channel_hi,kl_noise,kl_noise_lo,kl_noise_hi,expected_ll,expected_ll_lo,expected_ll_hi,neg_ell
34000,5,438.628,397.137,499.442,289.975,288.636,291.178,8.70696,8.66535,8.72411,-11856.3,-11935.5,-11785.3,11856.3
34500,5,467.222,358.987,520.231,289.5,288.784,290.141,8.7081,8.66831,8.72576,-11887.7,-11931.4,-11794.5,11887.7
35000,5,414.902,310.164,634.898,289.857,288.408,291.161,8.70617,8.67018,8.72302,-11880.7,-12095.7,-11711.4,11880.7
35500,5,420.886,179.66,525.051,290.084,288.344,291.557,8.70327,8.66483,8.72556,-11857.9,-12000.2,-11587.8,11857.9
36000,5,374.304,304.922,465.336,289.814,287.395,292.107,8.70226,8.65946,8.72009,-11803.2,-11898.3,-11713.7,11803.2
36500,5,418.998,296.34,519.199,290.121,288.953,291.808,8.70231,8.6629,8.71886,-11859.8,-11995.8,-11674.6,11859.8
37000,5,413.153,214.304,619.239,290.017,289.225,290.891,8.70258,8.66019,8.72136,-11827.8,-12042.3,-11601.9,11827.8
37500,5,315.746,245.265,375.915,290.247,289.672,290.562,8.70172,8.66494,8.71754,-11736,-11790.9,-11658.7,11736
38000,5,461.84,352.68,584.629,289.707,288.963,290.726,8.70055,8.66039,8.71635,-11877.5,-11977.5,-11790.6,11877.5
38500,5,391.669,271.314,591.102,290.578,289.852,291.627,8.70089,8.66415,8.71555,-11810.9,-12013.7,-11662.7,11810.9
39000,5,400.918,283.732,576.648,289.589,289.084,289.956,8.69967,8.66467,8.71595,-11819,-12013.5,-11726.2,11819
39500,5,451.442,361.518,590.982,289.769,289.165,290.633,8.69985,8.66553,8.71591,-11873.4,-12086.2,-11766.3,11873.4
40000,5,410.053,364.008,454.415,290.227,289.252,290.616,8.70137,8.66716,8.71491,-11859.5,-11928.4,-11775.6,11859.5
40500,5,362.886,302.182,435.172,289.69,288.307,290.285,8.7026,8.67201,8.71509,-11801.1,-11976.7,-11687.6,11801.1
41000,5,470.324,265.673,576.552,289.69,288.959,291.145,8.70356,8.67278,8.71477,-11880.3,-11975.8,-11673.3,11880.3
41500,5,549.818,409.929,712.702,290.138,289.898,290.36,8.7044,8.67246,8.71668,-12021.1,-12263.2,-11872.6,12021.1
42000,5,436.509,259.612,618.543,289.615,288.736,290.061,8.70459,8.67264,8.71697,-11876.3,-12147.1,-11626.3,11876.3
42500,5,406.333,284.859,519.499,290.185,289.752,290.766,8.70516,8.67313,8.71901,-11810.3,-11952.7,-11649,11810.3
43000,5,424.45,289.636,592.775,289.793,289.097,290.367,8.70435,8.67268,8.71794,-11851.2,-12050.9,-11661.2,11851.2
43500,5,489.861,403.277,544.275,289.49,288.828,290.257,8.70497,8.6728,8.71736,-11916.3,-11958.9,-11831.6,11916.3
44000,5,352.469,195.75,453.128,290.16,289.234,290.664,8.70534,8.67379,8.71874,-11796.8,-11934,-11668.3,11796.8
44500,5,478.376,261.962,580.77,289.764,289.09,290.225,8.7049,8.67339,8.71861,-11952.9,-12139.1,-11699.2,11952.9
45000,5,430.721,307.793,615.801,289.861,289.129,290.65,8.70497,8.67408,8.71871,-11840.1,-12041.1,-11694,11840.1
45500,5,463.197,404.518,594.55,289.831,289.085,290.309,8.70515,8.67465,8.71933,-11895.7,-12041.2,-11810.5,11895.7
46000,5,416.623,321.158,519.501,289.955,289.467,290.587,8.70517,8.67468,8.71943,-11835.1,-11958.2,-11743.7,11835.1
46500,5,482.905,409.31,561.327,289.87,289.163,290.998,8.70538,8.67482,8.71981,-11881.8,-12026.1,-11731.8,11881.8
47000,5,442.961,274.973,556.937,290.11,289.791,290.546,8.70517,8.67465,8.7194,-11877.6,-11996.3,-11694.8,11877.6
47500,5,421.25,382.404,509.663,290.085,289.436,290.505,8.70518,8.67452,8.71943,-11883.5,-12035.9,-11798.4,11883.5
48000,5,392.185,249.149,533.828,289.833,289.285,290.224,8.70525,8.67469,8.71945,-11834.1,-11996.2,-11689.2,11834.1
48500,5,474.934,333.338,617.994,289.852,289.314,290.327,8.70524,8.67476,8.71942,-11904.1,-12057.1,-11732.3,11904.1
49000,5,347.714,264.534,512.48,289.505,288.77,290.104,8.70529,8.67483,8.71946,-11786.9,-12048.1,-11626.9,11786.9
49500,5,595.456,409.691,713.56,289.669,289.187,290.415,8.70529,8.67484,8.71945,-12026.6,-12199.5,-11808.1,12026.6
50000,5,418.473,325.237,493.875,290.15,289.602,290.778,8.70529,8.67484,8.71945,-11875.8,-12027.1,-11751.9,11875.8
