cond,snr_db,receiver,mode,slot,rolling_bler,ci_lo,ci_hi,n_seeds
S2,3.0,AINR,none,640,0.9640000000000001,0.9021656315517036,1.0258343684482967,5
S2,3.0,AINR,none,650,0.952,0.8804560143105977,1.0235439856894022,5
S2,3.0,AINR,none,660,0.9640000000000001,0.910162731953242,1.017837268046758,5
S2,3.0,AINR,none,670,0.9640000000000001,0.9131069205701661,1.014893079429834,5
S2,3.0,AINR,none,680,0.9640000000000001,0.9195768783168354,1.0084231216831647,5
S2,3.0,AINR,none,690,0.9719999999999999,0.9304459746526572,1.0135540253473425,5
S2,3.0,AINR,none,700,0.9879999999999999,0.9657884391584175,1.0102115608415823,5
S2,3.0,AINR,none,710,0.992,0.9783982523868349,1.0056017476131651,5
S2,3.0,AINR,none,720,0.9960000000000001,0.984894219579209,1.0071057804207912,5
S2,3.0,AINR,none,730,0.9960000000000001,0.984894219579209,1.0071057804207912,5
S2,3.0,AINR,none,740,0.9960000000000001,0.984894219579209,1.0071057804207912,5
S2,3.0,AINR,none,750,0.992,0.9697884391584176,1.0142115608415823,5
S2,3.0,AINR,none,760,0.992,0.9697884391584176,1.0142115608415823,5
S2,3.0,AINR,none,770,0.992,0.9697884391584176,1.0142115608415823,5
S2,3.0,AINR,none,780,0.992,0.9783982523868349,1.0056017476131651,5
S2,3.0,AINR,none,790,0.9879999999999999,0.9743982523868348,1.001601747613165,5
S2,3.0,AINR,none,800,0.992,0.9783982523868349,1.0056017476131651,5
S2,3.0,AINR,none,810,0.9800000000000001,0.9551667200359248,1.0048332799640753,5
S2,3.0,AINR,none,820,0.9720000000000001,0.9304459746526574,1.0135540253473427,5
S2,3.0,AINR,none,830,0.976,0.9351947571605047,1.0168052428394954,5
S2,3.0,AINR,none,840,0.9720000000000001,0.9304459746526574,1.0135540253473427,5
S2,3.0,AINR,none,850,0.9640000000000001,0.9131069205701661,1.014893079429834,5
S2,3.0,AINR,none,860,0.976,0.9351947571605046,1.0168052428394954,5
S2,3.0,AINR,none,870,0.984,0.9516213643058259,1.016378635694174,5
S2,3.0,AINR,none,880,0.9719999999999999,0.9304459746526572,1.0135540253473425,5
S2,3.0,AINR,none,890,0.9640000000000001,0.9131069205701661,1.014893079429834,5
S2,3.0,AINR,none,900,0.968,0.9303384662330312,1.0056615337669688,5
S2,3.0,AINR,none,910,0.9640000000000001,0.9231947571605047,1.0048052428394953,5
S2,3.0,AINR,none,920,0.96,0.9135411872922962,1.0064588127077037,5
S2,3.0,AINR,none,930,0.96,0.9017607961441969,1.018239203855803,5
S2,3.0,AINR,none,940,0.9719999999999999,0.9343384662330311,1.0096615337669688,5
S2,3.0,AINR,none,950,0.976,0.9351947571605046,1.0168052428394954,5
S2,3.0,AINR,none,960,0.9800000000000001,0.9448804386765968,1.0151195613234034,5
