seed,cond,cdl,ds_ns,speed_kmh,snr_db,stream,batch,slot,resid,tdisp,conf_a,conf_d,cf,ct,ymag,crc_a,crc_d,err_AINR,err_DiscNRX,err_LS-LIN,err_LS-LMMSE,err_PCSI
4,CDLB,B,100.0,3.0,10.0,test,6,27,0.2828659415245056,0.005237477365881205,0.9888550043106079,0.9858033061027527,0.8395811319351196,0.9097850322723389,0.9134610295295715,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4,CDLB,B,100.0,3.0,10.0,test,6,28,0.332598477602005,0.002433198969811201,0.9852156639099121,0.9851816892623901,0.8771909475326538,0.903313934803009,0.9575522541999817,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4,CDLB,B,100.0,3.0,10.0,test,6,29,0.40873435139656067,0.0011190137593075633,0.9805160164833069,0.9653072357177734,0.8657375574111938,0.9161655902862549,0.9039671421051025,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4,CDLB,B,100.0,3.0,10.0,test,6,30,0.27409300208091736,0.0024148873053491116,0.990902841091156,0.9911704063415527,0.6174671649932861,0.9030290246009827,0.825316309928894,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4,CDLB,B,100.0,3.0,10.0,test,6,31,0.2389911413192749,0.0023820525966584682,0.9941503405570984,0.9958570003509521,0.8852782249450684,0.9206246733665466,0.9583618640899658,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4,CDLB,B,100.0,3.0,10.0,test,7,0,0.41985997557640076,0.004704589024186134,0.9884326457977295,0.9887472987174988,0.816950798034668,0.9128201007843018,0.9071973562240601,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4,CDLB,B,100.0,3.0,10.0,test,7,1,0.32022613286972046,0.004103634972125292,0.9882083535194397,0.9866657257080078,0.7596134543418884,0.9192731380462646,0.8755396604537964,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4,CDLB,B,100.0,3.0,10.0,test,7,2,0.37271648645401,0.0018070928053930402,0.9815834760665894,0.9797996878623962,0.7013324499130249,0.9187079071998596,0.8571241497993469,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4,CDLB,B,100.0,3.0,10.0,test,7,3,0.3562757670879364,0.005309442523866892,0.9790989756584167,0.9820742011070251,0.8404068946838379,0.9056887030601501,0.8982168436050415,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4,CDLB,B,100.0,3.0,10.0,test,7,4,0.3785991072654724,0.003799270838499069,0.9911712408065796,0.9940300583839417,0.742526650428772,0.9125257134437561,0.8596218228340149,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4,CDLB,B,100.0,3.0,10.0,test,7,5,0.5695011615753174,0.0050487639382481575,0.963883101940155,0.9457776546478271,0.8282034397125244,0.908470869064331,0.907501220703125,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4,CDLB,B,100.0,3.0,10.0,test,7,6,0.25179240107536316,0.004046307411044836,0.9899995923042297,0.989022970199585,0.7326788902282715,0.9170669317245483,0.8589972853660583,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4,CDLB,B,100.0,3.0,10.0,test,7,7,0.21124714612960815,0.0017639666330069304,0.9938418865203857,0.9932633638381958,0.5472590923309326,0.9152849912643433,0.8161212801933289,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4,CDLB,B,100.0,3.0,10.0,test,7,8,0.2634212076663971,0.007053097244352102,0.992423415184021,0.9938065409660339,0.6911123991012573,0.9162079691886902,0.8445292115211487,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4,CDLB,B,100.0,3.0,10.0,test,7,9,0.5964889526367188,0.003694254206493497,0.9313323497772217,0.9275117516517639,0.8554253578186035,0.9099093675613403,0.8840422630310059,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4,CDLB,B,100.0,3.0,10.0,test,7,10,0.41123247146606445,0.0028731152415275574,0.9669545292854309,0.9664800763130188,0.74396812915802,0.910224974155426,0.8649037480354309,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4,CDLB,B,100.0,3.0,10.0,test,7,11,0.29602688550949097,0.00490530813112855,0.9943339228630066,0.9943627119064331,0.7403777241706848,0.9171487092971802,0.8254345655441284,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4,CDLB,B,100.0,3.0,10.0,test,7,12,0.2676033675670624,0.00350546115078032,0.9856489896774292,0.98679518699646,0.8206578493118286,0.9024343490600586,0.9276210069656372,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4,CDLB,B,100.0,3.0,10.0,test,7,13,0.3779880702495575,0.005335950758308172,0.9938458800315857,0.994858980178833,0.7838904857635498,0.9067925214767456,0.8922238349914551,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4,CDLB,B,100.0,3.0,10.0,test,7,14,0.29299256205558777,0.003637910122051835,0.9885815978050232,0.9889681935310364,0.8680594563484192,0.9086188077926636,0.9429436326026917,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4,CDLB,B,100.0,3.0,10.0,test,7,15,0.34804028272628784,0.004299500957131386,0.9902098774909973,0.9903814792633057,0.8583617210388184,0.909906268119812,0.9403954744338989,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4,CDLB,B,100.0,3.0,10.0,test,7,16,0.4071042537689209,0.0051798331551253796,0.9783399105072021,0.9831091165542603,0.8709087371826172,0.9146667122840881,0.9227440357208252,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4,CDLB,B,100.0,3.0,10.0,test,7,17,0.23492833971977234,0.005681194830685854,0.9932029247283936,0.9927861094474792,0.6720248460769653,0.9136050939559937,0.8569090366363525,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4,CDLB,B,100.0,3.0,10.0,test,7,18,0.2797243595123291,0.004374764394015074,0.993730902671814,0.9921742081642151,0.8480464220046997,0.9195789098739624,0.917996346950531,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4,CDLB,B,100.0,3.0,10.0,test,7,19,0.429382860660553,0.0056679523549973965,0.9903362989425659,0.9895111918449402,0.8823239803314209,0.9133886098861694,0.9328460693359375,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4,CDLB,B,100.0,3.0,10.0,test,7,20,0.47150561213493347,0.0009110908722504973,0.9818937182426453,0.9875501990318298,0.8801617622375488,0.9106085300445557,0.9425070285797119,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4,CDLB,B,100.0,3.0,10.0,test,7,21,0.31121671199798584,0.003661167109385133,0.9897099733352661,0.9925118684768677,0.8854495286941528,0.9110249876976013,0.9563131928443909,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4,CDLB,B,100.0,3.0,10.0,test,7,22,0.30374714732170105,0.003383012255653739,0.9897621870040894,0.9873269200325012,0.7284282445907593,0.9079121947288513,0.8554788827896118,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4,CDLB,B,100.0,3.0,10.0,test,7,23,0.34567707777023315,0.0013025987427681684,0.9850949048995972,0.9824098944664001,0.8554086685180664,0.9155062437057495,0.9200369715690613,1.0,1.0,0.0,0.0,0.0,0.0,0.0
