cond,cdl,ds_ns,speed_kmh,snr_db,stream,batch,slot,err_Broad,err_DiscNRX,err_AINR,err_LS-LIN,err_LS-LMMSE,conf_b,conf_d,crc_b
S1,C,100.0,3.0,5.0,val,1,6,0.0,0.0,0.0,0.0,0.0,0.9079172015190125,0.9037498235702515,1.0
S1,C,100.0,3.0,5.0,val,1,7,0.0,0.0,0.0,0.0,0.0,0.9059722423553467,0.905971884727478,1.0
S1,C,100.0,3.0,5.0,val,1,8,0.0,0.0,0.0,0.0,0.0,0.9085750579833984,0.9101454615592957,1.0
S1,C,100.0,3.0,5.0,val,1,9,0.0,0.0,0.0,0.0,0.0,0.880092442035675,0.8988686800003052,1.0
S1,C,100.0,3.0,5.0,val,1,10,0.0,0.0,0.0,1.0,0.0,0.8979970216751099,0.8975579738616943,1.0
S1,C,100.0,3.0,5.0,val,1,11,0.0,0.0,0.0,0.0,0.0,0.9080146551132202,0.9146511554718018,1.0
S1,C,100.0,3.0,5.0,val,1,12,0.0,0.0,0.0,0.0,0.0,0.9067615866661072,0.9019942879676819,1.0
S1,C,100.0,3.0,5.0,val,1,13,0.0,0.0,0.0,0.0,0.0,0.9029088020324707,0.9026433229446411,1.0
S1,C,100.0,3.0,5.0,val,1,14,0.0,0.0,0.0,0.0,0.0,0.9013720750808716,0.9063407778739929,1.0
S1,C,100.0,3.0,5.0,val,1,15,0.0,0.0,0.0,0.0,0.0,0.8996118903160095,0.9048190712928772,1.0
S1,C,100.0,3.0,5.0,val,1,16,0.0,0.0,0.0,0.0,0.0,0.8930405974388123,0.8885334730148315,1.0
S1,C,100.0,3.0,5.0,val,1,17,0.0,0.0,0.0,0.0,0.0,0.9125174283981323,0.9009013175964355,1.0
S1,C,100.0,3.0,5.0,val,1,18,0.0,0.0,0.0,0.0,0.0,0.8960381150245667,0.912099301815033,1.0
S1,C,100.0,3.0,5.0,val,1,19,0.0,0.0,0.0,0.0,0.0,0.8871662020683289,0.8952656984329224,1.0
S1,C,100.0,3.0,5.0,val,1,20,0.0,0.0,0.0,0.0,0.0,0.9017795920372009,0.9099820256233215,1.0
S1,C,100.0,3.0,5.0,val,1,21,0.0,0.0,0.0,0.0,0.0,0.9095261693000793,0.9095169901847839,1.0
S1,C,100.0,3.0,5.0,val,1,22,0.0,0.0,0.0,0.0,0.0,0.8979992866516113,0.9113460183143616,1.0
S1,C,100.0,3.0,5.0,val,1,23,0.0,0.0,0.0,1.0,0.0,0.9073965549468994,0.9066526293754578,1.0
S1,C,100.0,3.0,5.0,val,1,24,0.0,0.0,0.0,0.0,0.0,0.9074195623397827,0.9139190316200256,1.0
S1,C,100.0,3.0,5.0,val,1,25,0.0,0.0,0.0,0.0,0.0,0.8891041874885559,0.9121527671813965,1.0
S1,C,100.0,3.0,5.0,val,1,26,0.0,0.0,0.0,0.0,0.0,0.9063544273376465,0.9155343770980835,1.0
S1,C,100.0,3.0,5.0,val,1,27,0.0,0.0,0.0,0.0,0.0,0.9178374409675598,0.9144494533538818,1.0
S1,C,100.0,3.0,5.0,val,1,28,0.0,0.0,0.0,0.0,0.0,0.9053061604499817,0.9061585664749146,1.0
S1,C,100.0,3.0,5.0,val,1,29,0.0,0.0,0.0,0.0,0.0,0.9003463387489319,0.9080290198326111,1.0
S1,C,100.0,3.0,5.0,val,1,30,0.0,0.0,0.0,0.0,0.0,0.8922164440155029,0.8971039652824402,1.0
S1,C,100.0,3.0,5.0,val,1,31,0.0,0.0,0.0,0.0,0.0,0.8744990229606628,0.9046552777290344,1.0
S1,C,100.0,3.0,5.0,val,2,0,0.0,0.0,0.0,0.0,0.0,0.9084746837615967,0.9102230668067932,1.0
S1,C,100.0,3.0,5.0,val,2,1,0.0,0.0,0.0,0.0,0.0,0.9003615379333496,0.899405300617218,1.0
S1,C,100.0,3.0,5.0,val,2,2,0.0,0.0,0.0,1.0,0.0,0.9012131094932556,0.9037125706672668,1.0
S1,C,100.0,3.0,5.0,val,2,3,0.0,0.0,0.0,0.0,0.0,0.9042133688926697,0.9113517999649048,1.0
S1,C,100.0,3.0,5.0,val,2,4,0.0,0.0,0.0,0.0,0.0,0.9011555910110474,0.9077722430229187,1.0
S1,C,100.0,3.0,5.0,val,2,5,0.0,0.0,0.0,0.0,0.0,0.8882374167442322,0.9104942679405212,1.0
S1,C,100.0,3.0,5.0,val,2,6,0.0,0.0,0.0,0.0,0.0,0.9040400385856628,0.9043650031089783,1.0
S1,C,100.0,3.0,5.0,val,2,7,0.0,0.0,0.0,0.0,0.0,0.9043999910354614,0.9046146273612976,1.0
S1,C,100.0,3.0,5.0,val,2,8,0.0,0.0,0.0,0.0,0.0,0.9105290770530701,0.9016261696815491,1.0
S1,C,100.0,3.0,5.0,val,2,9,0.0,0.0,0.0,0.0,0.0,0.9038187265396118,0.9166284203529358,1.0
S1,C,100.0,3.0,5.0,val,2,10,0.0,0.0,0.0,0.0,0.0,0.8629395365715027,0.891012966632843,1.0
S1,C,100.0,3.0,5.0,val,2,11,0.0,0.0,0.0,0.0,0.0,0.8996572494506836,0.9080374240875244,1.0
S1,C,100.0,3.0,5.0,val,2,12,0.0,0.0,0.0,0.0,0.0,0.9148053526878357,0.9135153889656067,1.0
S1,C,100.0,3.0,5.0,val,2,13,0.0,0.0,0.0,0.0,0.0,0.8858993053436279,0.9092195630073547,1.0
S1,C,100.0,3.0,5.0,val,2,14,0.0,0.0,0.0,0.0,0.0,0.9000653624534607,0.9177936911582947,1.0
S1,C,100.0,3.0,5.0,val,2,15,0.0,0.0,0.0,0.0,0.0,0.9064023494720459,0.9042702317237854,1.0
S1,C,100.0,3.0,5.0,val,2,16,0.0,0.0,0.0,0.0,0.0,0.9063944220542908,0.9040309190750122,1.0
S1,C,100.0,3.0,5.0,val,2,17,0.0,0.0,0.0,0.0,0.0,0.9023243188858032,0.9011945128440857,1.0
S1,C,100.0,3.0,5.0,val,2,18,0.0,0.0,0.0,1.0,0.0,0.9052863121032715,0.9113740921020508,1.0
S1,C,100.0,3.0,5.0,val,2,19,0.0,0.0,0.0,0.0,0.0,0.9020642638206482,0.9199900031089783,1.0
S1,C,100.0,3.0,5.0,val,2,20,0.0,0.0,0.0,0.0,0.0,0.9108827114105225,0.9101800322532654,1.0
S1,C,100.0,3.0,5.0,val,2,21,0.0,0.0,0.0,0.0,0.0,0.9035868048667908,0.902692973613739,1.0
S1,C,100.0,3.0,5.0,val,2,22,0.0,0.0,0.0,0.0,0.0,0.8837529420852661,0.9159124493598938,1.0
S1,C,100.0,3.0,5.0,val,2,23,0.0,0.0,0.0,0.0,0.0,0.8759821653366089,0.90802401304245,1.0
S1,C,100.0,3.0,5.0,val,2,24,0.0,0.0,0.0,0.0,0.0,0.9070194363594055,0.9169584512710571,1.0
S1,C,100.0,3.0,5.0,val,2,25,0.0,0.0,0.0,0.0,0.0,0.8783991932868958,0.9097236394882202,1.0
S1,C,100.0,3.0,5.0,val,2,26,0.0,0.0,0.0,0.0,0.0,0.8897376656532288,0.9106871485710144,1.0
S1,C,100.0,3.0,5.0,val,2,27,0.0,0.0,0.0,0.0,0.0,0.9089200496673584,0.9131441712379456,1.0
S1,C,100.0,3.0,5.0,val,2,28,0.0,0.0,0.0,0.0,0.0,0.9059718251228333,0.9023661017417908,1.0
S1,C,100.0,3.0,5.0,val,2,29,0.0,0.0,0.0,1.0,0.0,0.8914687633514404,0.898198664188385,1.0
S1,C,100.0,3.0,5.0,val,2,30,0.0,0.0,0.0,0.0,0.0,0.8847435712814331,0.9034305214881897,1.0
S1,C,100.0,3.0,5.0,val,2,31,0.0,0.0,0.0,0.0,0.0,0.8914799094200134,0.9098798632621765,1.0
S1,C,100.0,3.0,5.0,val,3,0,0.0,0.0,0.0,0.0,0.0,0.9114815592765808,0.9078496098518372,1.0
S1,C,100.0,3.0,5.0,val,3,1,0.0,0.0,0.0,0.0,0.0,0.8997528553009033,0.9145153164863586,1.0
S1,C,100.0,3.0,5.0,val,3,2,0.0,0.0,0.0,0.0,0.0,0.8967597484588623,0.9001095294952393,1.0
S1,C,100.0,3.0,5.0,val,3,3,0.0,0.0,0.0,0.0,0.0,0.9002425074577332,0.9144426584243774,1.0
S1,C,100.0,3.0,5.0,val,3,4,0.0,0.0,0.0,0.0,0.0,0.921882152557373,0.9102789163589478,1.0
S1,C,100.0,3.0,5.0,val,3,5,0.0,0.0,0.0,0.0,0.0,0.9048452377319336,0.9076492786407471,1.0
S1,C,100.0,3.0,5.0,val,3,6,0.0,0.0,0.0,0.0,0.0,0.8962970972061157,0.9081252217292786,1.0
S1,C,100.0,3.0,5.0,val,3,7,0.0,0.0,0.0,0.0,0.0,0.9144882559776306,0.9192331433296204,1.0
S1,C,100.0,3.0,5.0,val,3,8,0.0,0.0,0.0,0.0,0.0,0.8589977025985718,0.8987575173377991,1.0
S1,C,100.0,3.0,5.0,val,3,9,0.0,0.0,0.0,0.0,0.0,0.8954716920852661,0.9013916850090027,1.0
S1,C,100.0,3.0,5.0,val,3,10,0.0,0.0,0.0,0.0,0.0,0.9104356169700623,0.9107202887535095,1.0
